site;job_title;date_posted;tech_stack;requirements;min_salary;max_salary;industry;job_description;job_category
indeed;Jr. Performance Executor;2026-06-08 00:00:00;SQL, Python, R, Excel, Tableau, Power BI, Looker;Bachelor, Master, 3 years, Communication, Professional;;;;"**About the Job:**  

**Work Responsibilities:*** **Campaign Analysis:** Monitor the performance of digital marketing campaigns across various channels, including Google Ads, Facebook Ads, **programmatic advertising platforms**, and email marketing.
* **Programmatic Optimization:** Manage and optimize programmatic buying strategies, specifically leveraging **Google Marketing Platform (DV360\)**, to maximize reach, audience targeting precision, and media spend efficiency.
* **Keyword and Audience Research:** Perform keyword research and advanced audience analysis (including first\-party and third\-party data segmentation within **DV360**) to inform ad targeting and content strategies.

**Job Requirements:*** Bachelor’s degree in Statistics, Mathematics, Computer Science, Industrial Engineering, Economics, or a related field. A master’s degree is a plus.
* Minimum 2–3 years of experience as a Product Analyst, Data Analyst, Business Analyst, or a related role.
* Experience in the tech, consulting, e\-commerce, or financial services industry is highly valued.
* Experience collaborating with performance marketing, growth marketing, or **digital media buying** teams is a strong advantage.
* Proficient in SQL for data extraction and transformation.
* Skilled in analytical tools such as Python, R, or advanced Excel (including pivot tables, VLOOKUP, and data modeling).
* Familiar with Business Intelligence (BI) tools such as Tableau, Power BI, Looker, or Google Data Studio.
* Hands\-on experience with A/B testing, cohort analysis, funnel analysis, and experimentation frameworks.
* Strong understanding of product metrics like conversion rate, retention, churn, LTV, CAC, and ROI.
* **Solid understanding of programmatic advertising ecosystem (DSP, SSP, DMP) and hands\-on experience with Google Display \& Video 360 (DV360\) or other major DSPs.**
* Solid understanding of performance marketing channels such as Google Ads, Meta Ads, TikTok Ads, and other paid media platforms.
* Experience in analyzing and optimizing marketing campaign performance using data.
* Knowledge of channel attribution models, marketing effectiveness measurement, and budget optimization based on data insights.
* Comfortable working closely with marketing teams to align performance initiatives with product goals.
* Strong business acumen with the ability to turn complex data into actionable insights and strategic recommendations.
* Excellent communication skills with the ability to present findings to non\-technical stakeholders.
* Product\-oriented mindset with strategic thinking and problem\-solving skills.
* Holding a **Google Certified Professional in Display \& Video 360** or relevant programmatic certifications is highly preferred.";
indeed;AI Data Engineering Consultant (Managerial);2026-06-07 00:00:00;Databricks, Snowflake, Spark, Kafka, Airflow, Python, Scala, Azure;Bachelor, Flexibility;;;;"Location: Jakarta
Other locations: Primary Location Only
Salary: Competitive
Date: Jun 7, 2026
**Job description**
-------------------


Requisition ID: 1716103
### **About EY**



EY is a global leader operating in over 150 countries, delivering exceptional services in Consulting and helping clients transform and strengthen their capabilities. We are committed to building a better working world by creating long\-term value for clients, people, and society, while fostering trust in capital markets.



This commitment begins with a culture that emphasizes learning, growth opportunities, and innovation—empowering you to make a meaningful impact. At EY, your career is yours to shape, supported by a global network, inclusive culture, and advanced technology. We value your unique perspective and encourage you to bring your voice to help us continuously improve.



### **The Opportunity**



As an **AI Data Engineer**, you will play a key role in enabling clients to modernize their data platforms and unlock the value of AI\-driven insights. You will work on cutting\-edge technologies to design and build scalable, intelligent data solutions, particularly focused on next\-generation, AI\-driven (agentic) data pipelines beyond traditional ETL approaches.



This is a high\-growth area within EY, offering strong exposure to innovative projects, emerging technologies, and career advancement opportunities.



### **Your Key Responsibilities**


* Design and build scalable, AI\-driven/agentic data pipelines for advanced analytics and machine learning use cases
* Work hands\-on with modern data platforms such as **Databricks, Microsoft Fabric, Snowflake, Spark, Kafka, and Airflow**
* Develop and optimize data processing workflows, ensuring performance, scalability, and reliability
* Collaborate with data scientists, analysts, and business stakeholders to translate requirements into technical solutions
* Ensure data quality, governance, and integrity across the data lifecycle
* (Optional/Bonus) Contribute to solution architecture, proposals, and RFP responses in consulting engagements

### **Requirements**


* Bachelor’s degree in Computer Science, Engineering, or a related field
* Proven experience as a **Data Engineer or AI Data Engineer**
* Hands\-on experience with modern data platforms such as **Databricks, Snowflake, Microsoft Fabric, Spark, Kafka, and Airflow**
* Strong programming skills (e.g., **Python, Scala**)
* Solid understanding of **modern data architecture and AI\-driven data pipelines**
* Experience in cloud environments (preferably **Microsoft Azure**)
* Strong analytical thinking and problem\-solving skills

### **What We Look For**



We are looking for passionate and forward\-thinking individuals who are excited about AI\-driven data transformation. If you are curious, adaptable, and motivated to help organizations unlock the power of data and AI, this role is for you.



### **What We Offer**


* **Continuous Learning:** Build future\-ready skills through ongoing development and training
* **Success as Defined by You:** Flexibility and tools to create meaningful impact in your own way
* **Transformative Leadership:** Coaching and support to help you grow into a strong leader
* **Diverse \& Inclusive Culture:** An environment where your voice is valued and individuality is celebrated";
indeed;Data Scientist;2026-06-05 00:00:00;Python, XGBoost, LightGBM, SQL;3 years, Communication, English;;;;"We are seeking a driven and creative Data Scientist with a minimum of 3 years of experience in a data science or machine learning role, who will be instrumental in building predictive models, testing hypotheses, and providing statistically sound insights that enhance our lead generation capabilities. The Data Scientist will be part of our analytics team, working closely with IT, marketing, media buying and CRO teams to transform raw data into actionable insights, whether that means building real\-time scoring models, investigating campaign performance, or helping the business distinguish signal from noise when making decisions.


The ideal candidate is someone who thrives on solving ambiguous problems, brings strong statistical intuition alongside machine learning skills, and can serve as a trusted analytical partner to stakeholders across the business. They're as comfortable building production ML pipelines as they are answering a media buyer's question about whether a source is actually underperforming or just experiencing variance. Experience in digital marketing, lead generation, or ad\-tech is highly desirable.

**Primary Responsibilities**

* Leverage agentic AI\-assisted development tools throughout the workflow, from exploratory analysis and feature engineering to model development and pipeline building, to accelerate iteration speed while maintaining rigor and code quality
* Design, develop, and deploy machine learning models to segment and score landing page visitors based on intent and lead quality, using behavioral signals such as scroll depth, click patterns, session duration, and form engagement.
* Engineer predictive features from raw user behavior data to improve model accuracy and business relevance.
* Build and maintain real\-time scoring pipelines that enable dynamic postback signals to ad networks, improving campaign optimization speed and efficiency.
* Collaborate with marketing and analytics teams to define quality/intent tiers and translate business logic into quantifiable model outputs.
* Conduct exploratory data analysis and experimentation to uncover patterns in user behavior that correlate with downstream lead quality and conversion outcomes.
* Continuously monitor, evaluate, and iterate on model performance, ensuring alignment with evolving business goals and traffic patterns.
* Contribute to forecasting and budget projection initiatives as needed, supporting strategic planning with data\-driven modeling.
* Clearly communicate, document and present findings, methodologies, and model specifications for cross\-functional, non\-technical stakeholders.
* Support data\-driven decision\-making by quantifying uncertainty, assessing statistical significance, and challenging assumptions when the data doesn't support them.
* Identify and quantify relationships between behavioral signals, traffic sources, campaign attributes, and lead quality outcomes; distinguish meaningful correlations from spurious ones.
* Serve as an analytical partner to media buyers and marketing teams: investigate campaign and source performance, validate hypotheses about lead quality, and provide statistically rigorous answers to business questions.

  


Requirements:
  

* 3\+ years of experience in data science, machine learning, or a related quantitative role.
* Comfortable working in agentic AI\-assisted development environments (e.g., Cursor, ClaudeCode, Antigravity) to accelerate model development, data exploration, and pipeline building, including the judgment to know when AI\-generated outputs need manual verification or refinement.
* Strong proficiency in Python, including ML libraries such as scikit\-learn, XGBoost, LightGBM, or similar.
* Solid experience with feature engineering, particularly from behavioral, clickstream, or event\-based data.
* Familiarity with deploying models in production environments; experience with real\-time or near\-real\-time inference is a strong plus.
* Strong foundation in statistical inference, hypothesis testing and root\-cause analysis: can distinguish signal from noise, assess significance, and communicate uncertainty clearly.
* Proficiency in SQL and experience working with large\-scale datasets.
* Understanding of classification, regression, and clustering techniques; experience with user segmentation or propensity modeling preferred.
* Exposure to digital marketing concepts and KPIs (CPL, CVR, ROAS, etc.) is highly desirable.
* Ability to translate vague business questions into testable hypotheses and structured analyses.
* Excellent problem\-solving skills with the ability to work through ambiguity and define structure where none exists.
* Strong communication skills with the ability to explain technical concepts to non\-technical stakeholders.
* Team\-oriented mindset with a collaborative and proactive approach.
* Upper\-Intermediate or higher level of English.

**Nice to Have**

* Experience building or using custom skills, prompt workflows, or tool\-use patterns within agentic coding environments.
* Experience in lead generation, ad\-tech, or performance marketing environments.
* Familiarity with ad network optimization, postback mechanisms, or conversion APIs.
* Experience with cloud platforms and MLOps tools.
* Background in time\-series forecasting or demand modeling.

 **What we offer**

* **Remote Work \-** we offer a truly and fully remote environment. You choose where you are the most productive and comfortable to have an impact.
* **Paid vacations** \- generous paid vacation policy to ensure you have time to recharge
* **Unlimited Sick Days** \- we understand that being only human means getting sick or feeling under the weather from time to time, so we guarantee you time off as long as you need to recover and get back on your feet.
* **Ongoing Learning** \- people at CapsLock are deeply inquisitive and eager to learn new knowledge and skills, that's why we support and create learning opportunities like the Free Books program, workshops, conferences, and more.
* **Home Office** \-we will cover the equipment and furniture expenses to make sure you have the best work\-from\-home experience.
* **Physical Well–Being** \- We will cover costs of your medical insurance. Additionally we offer an allowance for a flexible fitness program.
* **Fun Stuff** \- there is never a shortage of fun stuff";Data Scientist
indeed;Junior Data Analyst;2026-06-05 00:00:00;Excel;English, Professional, 3 years;;;;"**Key Responsibilities:**

* Accurately input, update, and maintain data across various databases and online platforms.
* Review and verify data for completeness and accuracy, making necessary corrections.
* Collaborate with team members to collect required data and ensure consistency across sources.
* Generate reports, store completed work in designated locations, and perform backup operations.
* Maintain confidentiality regarding the information being processed, stored, or accessed.
* Assist with additional administrative tasks as needed to support business operations.

**Qualifications:**

* Proven experience as a data entry specialist or similar roles along with good typing skill.
* Good command of English, both oral and written is a MUST.
* Domiciled in Denpasar, Bali
* An eye for detail and familiarity with online forms and spreadsheet.
* Knowledge of MS Office Word, Excel
* Basic understanding of database software is a plus.
* College diploma; additional computer training or certification is a plus.

**What we offer:**

* A dynamic, supportive, and collaborative work environment.
* Opportunities for professional growth and development.
* Competitive salary and benefits package.
* Red days and 2 weeks paid off per year.
* BPJS and THR after probation period

Job Type: Full\-time

Experience:

* Data Analyst / Data Entry: 3 years (Required)

Language:

* English (Required)

Location:

* Denpasar (Required)

Work Location: In person";Data Analyst
indeed;Senior Executive, Procurement;2026-06-04 00:00:00;Go;Bachelor, English, Communication;;;Transport And Freight;"Job Description


**OVERVIEW:**


* **Location:** Don Mueang International Airport
* **Department:** Procurement
* **Entity:** Thai AirAsia
* **Status:** Full\-time

**YOUR ROLE AS A SENIOR EXECUTIVE, PROCUREMENT**


In this role, you will lead sourcing initiatives and manage procurement requests for your specific category such as IT, Facility, and etc. in Thailand. Your primary objective is to drive organizational value by optimizing costs, ensuring strict compliance, and meeting critical KPIs, including risk mitigation and enhanced cash flow. You will be responsible for cultivating a resilient supply base through robust supplier relationships while partnering with internal stakeholders to identify requirements and provide ongoing value.


**WHAT YOU’LL CHAMPION:**


* Execute category strategies in Thailand focused on cost efficiency, commercial optimization, cash flow improvement, and value creation aligned with AirAsia’s goals.
* Lead cross\-functional projects and partner closely with internal users to proactively understand their needs and deliver high levels of customer service.
* Establish a resilient supply base through rigorous evaluation, risk mitigation, business continuity planning, and strict contract compliance/escalation management.
* Conduct category analyses to provide actionable insights and deliver timely, accurate reports on project status and performance against established KPIs.
* Drive process enhancements and ongoing optimization in all categories sourcing and procurement practices.
* Promote AirAsia’s culture and values internally and externally, supporting the Procurement Manager in strengthening brand image and customer advocacy.
* Act as the representative of the corporate procurement team, continuously developing Subject Matter Expert (SME) skills with a strong sense of diligence, accountability, and ownership.

**WHO YOU ARE:**


* Bachelor’s degree in Business Administration, Supply Chain Management, Procurement, Finance, or a related field.
* Minimum of 5 years of progressive procurement or strategic sourcing experience, preferably in a fast\-paced industry.
* **Having experience in IT categories and indirect procurement would be advantageous.**
* Strong data interpretation and financial analysis capabilities, with proficiency in procurement software and ERP systems.
* Excellent negotiation, contract management, and multitasking skills, paired with high accountability and sharp attention to detail.
* Able to handle complex stakeholder environments across diverse functions.
* Strong verbal and written English communication skills, with a minimum TOEIC score of 650\.

**WHERE YOU’LL GO:**


Dispatcher to captain, ramp agent to data analyst, brand executive to CEO \- these are some Dare To Dream stories of our Allstars.


Gaining further experience will allow you to transition into a management position, where you will oversee the full spectrum of Procurement and lead initiatives to strategically govern and enhance procurement effectiveness.


**WHAT YOU’LL ENJOY:**


* Physical Wellbeing: Key medical and insurance benefits, maternity expenses, flexible work arrangements, and health and fitness amenities.
* Emotional Wellbeing: Paid time off, wellness programmes, and childcare amenities.
* Financial Wellbeing: Resources relating to financial, personal skills, and career growth programmes.
* Allstars Specials: Free flights, unlimited discounted flights, and exclusive discounts with partners.
* A unique Allstar culture like no other

**OUR HIRING PROCESS:**


* Application Review
* Application Review and Skills Match
* Interview \& Assessment
* Background Verification
* Offer Process

**GET TO KNOW AIRASIA :**


AirAsia has been the World's Best Low\-Cost Airline for 14 consecutive years with over 800 million guests flown. We continue to champion dreams, serve the underserved and connect the world and Asean like no other so Now Everyone Can Fly.


**GET TO KNOW US:**


Our story begins in 2001 with a dream, two planes and a 40 million ringgit debt. You’ll know us as the ‘Now Everyone Can Fly’ airline (if you don’t, we’re definitely older than you)


Today, we’re more than just an airline. We’re Capital A \- a world\-class brand that wears many hats. Our mission is to connect people and transform lives in Asean.


Above all, we’re Allstars. We believe in the unbelievable and we dare to dream. We also believe in celebrating all individuals. So no matter your culture and background or if you prefer aisle seat to window seat, we’re excited to have you onboard.


https://privacy.thaiairasia.co.th/Candidate\_Privacy.html

  

  

**We are all different** \- one talent to another \- that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be your best.We are committed to creating a diverse work environment and are proud to be an equal opportunity employer.
  

  

**Search Firm Representatives** \- AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre\-existing agreement is in place.";
indeed;Car Financing Supplier Management Staff;2026-06-04 00:00:00;Excel, R;D3, S1, Fresh Graduate, Komunikasi;;;;"* Melakukan monitor, kontrol dan review secara harian atau bulanan terhadap pertumbuhan jumlah supplier dan produktifitas penjualan Supplier.
* Melakukan sosialisasi dan melakukan monitor secara harian atau bulanan terhadap implementasi program benefit supplier.
* Melakukan update data market dan kompetitor dan merangkum informasi dari pihak ketiga (supplier).
* Memproses penambahan dan aktivasi supplier yang didaftarkan.

  
* Minimum Qualifications: Minimal D3/S1 jurusan semua jurusan
* Fresh Graduate atau memiliki pengalaman kerja minimal 1 di perusahaan multifinance/pembiayaan dan fokus bertanggung jawab atas produk.
* Memiki pengetahuan mengenai stock financing/showroom financing menjadi nilai plus
* Memiliki pengetahuan tentang analisis/statistik dan otomotif.
* Memiliki pengetahuan tentang pembuatan strategi produk marketing
* Memiliki kemampuan analisis berpikir, presentasi dan komunikasi yang baik
* Memiliki integritas yang tinggi
* Dapat bekerja sama dengan tim maupun secara individu
* Data Analyst \& Processing
* Data processing tools (Misal: Microsoft Excel, Microsoft Word)
* Data presentation tools (Misal: Microsoft PowerPoint)

  
PT Sinar Mitra Sepadan Finance (“Perusahaan”) adalah perusahaan pembiayaan nasional yang didirikan pada 28 November 2000\. Perusahaan memperoleh izin usaha melalui Surat Keputusan Kementerian Keuangan Nomor 365/KMK.06/2001 pada 11 Juni 2001\. Saat ini, Perusahaan berkedudukan di Jakarta Selatan dengan kantor pusat di Agro Plaza Lantai 16\-17, Jl. H.R. Rasuna Said Kav. X2\-1, Kuningan Timur, Setiabudi, Jakarta Selatan 12950\. Pemegang saham Perusahaan saat ini adalah ORIX Corporation dari Jepang dan PT Sinar Mas Multiartha, Tbk. (“SMMA”), dengan ORIX Corporation sebagai pemegang saham mayoritas sebesar 85%. Perusahaan telah menjadi bagian dari ORIX Corporation, Jepang, yang memiliki jaringan di lebih dari 30 negara dan terdaftar di New York Stock Exchange. PT Sinar Mitra Sepadan Finance bergerak di bidang jasa pembiayaan kendaraan bermotor roda empat atau lebih. Selama lebih dari 20 tahun, Perusahaan telah berkembang dengan memiliki lebih dari 100 jaringan (Kantor Cabang dan Kantor Selain Kantor Cabang) di seluruh Indonesia dan lebih dari 2\.000 karyawan. SMS Finance, pilihan perusahaan pembiayaan untuk mobil bekas dan multiguna dengan jaminan BPKB mobil, bunga rendah mulai 0,7%!";
indeed;Data Scientist;2026-06-04 00:00:00;GitHub, Docker, Kubernetes, GitLab;Bachelor, S1, Professional;;;;"Job Requirements:

* ⁠Bachelor’s degree (S1\) in Mathematics, Computer Science, Informatics Engineering, or related field.
* Open for Fresh Graduates and experienced candidates.
* Proven programming/coding experience, demonstrated through:
* Academic projects, freelance work, internships, or professional experience, and/or Portfolio such as GitHub
* Basic knowledge of DevOps, including: Docker (required), Kubernetes (a plus)
* Analytical thinking skills.

Job Responsibilities:

* Collect, clean, and validate data from multiple sources (databases, APIs, flat files) to ensure data quality for analysis.
* Perform exploratory data analysis (EDA) to uncover patterns, anomalies, and early insights aligned with business needs.
* Build and maintain efficient data pipelines to support ongoing analytical processes.
* Design, develop, and evaluate machine learning and statistical models (classification, regression, clustering, forecasting, etc.) tailored to business problems.
* Conduct feature engineering and feature selection to improve model performance.
* Run experiments and A/B tests to measure the impact of new models or features in a structured, measurable way.
* Package and deploy models to production environments using Docker, ensuring consistent performance across different environments.
* Collaborate with the engineering team to integrate models into existing systems or applications.
* Monitor model performance in production and conduct periodic retraining when performance degradation is detected.
* Work closely with product managers, business analysts, and stakeholders to translate business needs into data\-driven problem statements.
* Present analytical findings and recommendations clearly to both technical and non\-technical audiences through data visualizations and structured reports.
* Document methodologies, code, and experiments in a structured manner (e.g., GitHub/GitLab) to ensure reproducibility and maintainability by the team.
* Stay up to date with the latest developments in data science, machine learning, and related technologies and apply them where relevant.
* Proactively identify opportunities to leverage data for improving operational efficiency, user experience, or product performance.

Work Location: Hybrid remote in Jakarta";Data Scientist
indeed;Data Scientist;2026-06-03 00:00:00;SQL, Python, LLM;Flexibility, English;;;;"**Join Paystone and Shape the Future of Customer\-Driven Growth!**
==================================================================


At Paystone, we build products that help small businesses grow through better customer experiences. We’re focused on using data and AI to power smarter decisions, stronger relationships, and measurable business impact.


Rooted in our values of thinking people first, solving impactful problems, and building a better future, we’re investing in intelligent systems that bring machine learning directly into the hands of our customers.

**Your Role: Data Scientist**
We’re looking for a remote Data Scientist to help build and ship machine learning models that power real product experiences.


You’ll work closely with Product, Engineering, and BI to turn data into systems that drive segmentation, churn prediction, lifetime value modelling, and personalized recommendations. This is an end\-to\-end role where you’ll help define problems, build models, and support production delivery.  

  

**Why Paystone?**

* **Impact:** Build models that directly influence customer experiences and business outcomes.
* **Flexibility:** People\-first approach focused on outcomes, not location or hours.
* **Innovation:** Work at the intersection of machine learning, product thinking, and AI\-assisted development.
* **Collaboration:** Partner closely with Product, Engineering, and BI in a fast\-moving, supportive environment.

**What You’ll Do:**

* Partner with Product and BI to turn business goals into well\-scoped ML problems with clear success criteria and guardrails
* Build and productionize models for segmentation, churn, LTV, and recommendations
* Design evaluation frameworks including offline benchmarks and online feedback loops to ensure models are measured, not assumed
* Collaborate with Engineering on production design considerations like latency, payload structure, fallbacks, and failure modes
* Monitor model performance over time, detect drift, and own retraining and iteration cycles
* Use product telemetry and user feedback to drive continuous model and feature improvements
* Work alongside AI coding agents to accelerate development (pipelines, tests, refactoring, exploration) while maintaining human oversight
* Communicate results, trade\-offs, and recommendations clearly across technical and non\-technical teams

 **Who You Are**

* 5\+ years as a Data Scientist, Applied Scientist, or ML Engineer
* Strong SQL and Python skills with production ML experience
* Experience with churn, segmentation, LTV, or recommender systems
* Comfortable working with production systems and APIs
* Familiar with AI coding tools and agentic workflows
* Strong communicator who can simplify technical concepts

 **Nice to Have**

* Experience in loyalty, CRM, or retail analytics
* LLM or AI agent experience
* Building internal tools or ML infrastructure
* French/English bilingual


If you’re excited about building practical, impactful ML systems that ship into real products, we’d love to meet you.




QWAFmse6lm";Data Scientist
indeed;Data Analyst (Freelance);2026-06-03 00:00:00;Excel, Google Sheets, Looker;1 year, Communication, Teamwork;;;;"###### **Jakarta, Indonesia**


Freelance


Job Type


About the role


* Compile, Cleanse \& Analyze End to End Data in Retail Operations (Sourcing, Production, Warehouse Operations, Customer Services, and Logistics)
* Support Warehouse team to monitor operations in Offline Store
* Support project\-based activities in Retail Operations
Requirements


* High Proficiency in Excel, Google Sheets \& Google Looker Studio.
* 1 Year Experience in Data/Retail Operations related role,
* Final\-year students or fresh graduates are welcome
* Detail\-oriented with strong communication, coordination and teamwork skills.";Data Analyst
indeed;Senior Data Engineer;2026-06-03 00:00:00;SQL, Azure, Power BI, CI/CD, dbt, GCP, BigQuery, GitLab;Master, English, Communication, Teamwork;;;;"Location: Jakarta, Indonesia
Thales is a global technology leader trusted by governments, institutions, and enterprises to tackle their most demanding challenges. From quantum applications and artificial intelligence to cybersecurity and 6G innovation, our solutions empower critical decisions rooted in human intelligence. Operating at the forefront of aerospace and space, cybersecurity and digital identity, we’re driven by a mission to build a future we can all trust.


Thales has been present in the Republic of Indonesia for 45 years in the defence, aerospace and space domains, delivering a wide range of civil and defence solutions that highlight our strong commitment to working with the Indonesian government and local stakeholders. In recent years, our innovative solutions in air traffic management systems and telecom satellites have further strengthened our presence in the country alongside our digital portfolio of solutions such as biometrics, data protection and cybersecurity now serving the needs of diverse customers in civil sectors.
As Senior Data Engineer, you will participate in the different phases of Thales Digital Transformation Projects by collecting, modeling, and rendering our data in order to help end user to perform an accurate analysis of their business through reports and Dashboards.

* Assembling large, complex sets of data that meet non\-functional and functional business requirements
* **Developing reusable ETL Jobs use cases**
* Conception of connectors/jobs
* **Development of Talend Jobs, deployment and commissioning of the interfaces**
* Identifying, designing and implementing internal process improvements including re\-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes
* **Building required infrastructure for optimal extraction, transformation and loading of data from various data sources using ETL and SQL technologies**
* Building analytical tools to utilize the data pipeline, providing actionable insight into key business performance metrics including operational efficiency and customer acquisition
* **Significate experience on data engineering Cloud environment (azure), especially on data services (incl. ADLS Gen 2, Synapse, ADF, Azure SQL DB, Analysis Services, Power Bi Services**
* Highly skilled in Microsoft SQL Server Stack (Data Base Engine, Integration Services, Analysis Services, Power BI Reporting Services
* **Advanced SQL, DAX, MDX and Query performance tuning Skills**
* Very good Knowledge on Design Pattern of Data Product
* Demonstrate ability to manage multiple interfaces \& deal with IT resources in international context
* **Familiar with fully automated CI/CD Pipelines (Azure DevOps) for code deployment, integration and test automation, code quality and orchestration for automated build and release.**
* Ability to manage Row Level Security on each Layer of the data Chain
* Familiar with ETL Feeding mechanisms (Delta/Full Loading ,Historical data)
* Experience Building and Interacting with Data Lake Solutions
* Good knowledge on agile methodology
* Working with stakeholders including data, design, product and executive teams and assisting them with data\-related technical issues
* **Build Data Warehouses, Data Marts and Data Cubes**
* Maintain the ETL in operational condition
* Working with stakeholders including the Executive, Product, Data and Design teams to support their data infrastructure needs while assisting with data\-related technical issues
* Experience using **dbt** for data transformation and modeling.
* Familiarity with distributed query engines such as **Trino** (or equivalent).
* Knowledge of **object storage systems** such as **MinIO** (or equivalent) and distributed SQL query engines such as **Trino**.
* Strong understanding of **modern data architectures**, including the **medallion architecture**
* Nice to have: Experience with scalable data pipelines on GCP (**BigQuery**, **GCP**, **Dataproc**)
* Support the qualification of the projects, extraction, transformation and load of the data (Data Scoping / Discovery)
* Technical Framing : Feasibility study, expression of needs, estimation of the load and timeframe
* Writing Technical Specifications
* Ensure documentation of achievements
* Enrich solution components catalogue
* User Support
* Customer oriented
* Quality minded and proactive approach

**QUALIFICATION, CERTIFICATION \& EDUCATIONAL REQUIREMENTS**


Tools: Talend Studio, Talend Data Integration Platform, Gitlab, Azure DevOps, Visual Studio, SQL server Management Studio, Dax Studio, Tabular editor


Expertises: CI/CD notions, Data Modeling, Talend, SQL,Agile,SSAS


Educational: In a master’s degree in computer science/statistics/mathematics fields

**PREFERRED SKILLS**

* Fluency in both written and spoken English is required due to the nature of the work.
* Excellent communication and presentation skills.
* Teamwork and willing to perform trough cooperation.
* Strong attention to details.
* Willingness for change and solving problem.
* Be passionate about digital transformation.
* Strong analytical mindset.
* Data oriented.


At Thales, we’re committed to fostering a workplace where respect, trust, collaboration, and passion drive everything we do. Here, you’ll feel empowered to bring your best self, thrive in a supportive culture, and love the work you do. Join us, and be part of a team reimagining technology to create solutions that truly make a difference – for a safer, greener, and more inclusive world.";Data Engineer
indeed;Sr Security Analyst;2026-06-03 00:00:00;SQL, Linux;Bachelor, 3 years, Communication;;;;"General Description
===================


This role is responsible for governing and ensuring the effectiveness of security controls across all business streams from a technical governance perspective. The position acts as a strategic bridge between business, technology, and security functions to ensure that cyber risks, AI risks, information security risks, and fraud risks are proactively identified, assessed, and maintained within acceptable risk levels.


The role emphasizes security control assurance, risk\-based decision making, and governance alignment, while also providing technical oversight and advisory in implementing security controls across systems, integrations, and digital platforms.


In addition, this role supports cyber defense initiatives by contributing to security monitoring strategy, forensic readiness, and investigation capability, ensuring that detection and response mechanisms are aligned with enterprise risk posture.

Key Responsibilities
====================


List key responsibilities of this position that are required daily.

### **1\. Security Governance \& Risk Oversight**

* Conduct **risk\-based security assessments** across business streams, internal systems (ERP, low\-code platforms), and external integrations (API, system\-to\-system).
* Identify and evaluate **cyber risks, AI\-related risks (model risk, data leakage, bias, misuse), and fraud risks**, including mapping to likelihood and impact.
* Ensure **security controls are properly designed, implemented, and operating effectively** in alignment with enterprise policies and risk appetite.
* Act as a **technical advisor to business and product teams** to embed security\-by\-design and risk\-based control mechanisms.

### **2\. Security Control Assurance \& Architecture Alignment**

* Review and validate implementation of **system security controls**, including:
	+ Access control (RBAC / ABAC)
	+ Audit trail \& logging mechanisms
	+ Data protection controls (DLP, encryption, masking)
	+ API and integration security
* Ensure all systems have **traceability, accountability, and monitoring capabilities** to support governance and forensic requirements.
* Drive standardization of **minimum security requirements** across business streams and satellite systems.

### **3\. Monitoring, Detection \& Forensic Readiness**

* Oversee development and optimization of **security monitoring strategies** (SIEM, alerting use cases, detection rules).
* Ensure **log management and alerting mechanisms** are aligned with risk priorities and minimize false positives.
* Develop and enhance **forensic readiness capabilities**, including:
	+ Data trail design
	+ Transaction monitoring
	+ Investigation support framework
* Support investigation of cyber incidents and fraud cases from a **data\-driven and control validation perspective**.

### **4\. Reporting, Governance \& Stakeholder Engagement**

* Produce **risk\-based security assessment reports**, including actionable remediation plans.
* Communicate findings effectively to stakeholders, including management, auditors, and technical teams.
* Ensure **end\-to\-end remediation tracking and closure validation** for identified vulnerabilities.
* Maintain up\-to\-date documentation related to **security controls, risk assessments, and governance artifacts**.

### **5\. Continuous Improvement \& Awareness**

* Continuously evaluate and improve **security control effectiveness** based on emerging threats and risk trends.
* Collaborate with Information Security Governance to support **security awareness and risk culture initiatives**.
* Promote **automation and efficiency** in security governance processes (e.g., using low\-code / workflow automation tools).

Required Qualifications
=======================

* Bachelor’s degree in Technology, Information Systems, Computer Science, or related fields.
* Minimum 3 years of experience in areas such as:
	+ Cyber Security / Security Analyst / SOC
	+ IT Risk / Information Security Governance
	+ Fraud Risk / Anti\-Fraud
	+ System Analyst / Data Analyst
* Strong understanding of:
	+ **Cyber Risk Management \& Information Security Principles**
	+ **AI Risk (model risk, data risk, misuse scenarios)**
	+ **System Security Controls \& Secure Architecture**
* Hands\-on experience in **SQL and data query technologies** (mandatory).
* Familiarity with:
	+ SIEM, DLP, API Security, Threat Intelligence tools
	+ Security testing tools (e.g., Burp Suite, Kali Linux)
* Strong analytical, problem\-solving, and risk assessment capabilities.
* Ability to translate **technical risks into business impact**.
* Good communication skills and ability to work across cross\-functional teams.

*Evermos is committed to providing an inclusive environment where equal opportunities are available to all applicants regardless of race, color, religion, gender, national origin, disability, age, genetic information, marital status, pregnancy, or related condition. We will not tolerate discrimination or harassment based on any of these characteristics.*


*We also emphasize the importance of diversity in all aspects of employment including recruitment, hiring, promotions, training, and organization operations.*


8azQfcfltV";
